phonemes,ground_truth,prediction
ɡʊstɑːf fʊxs vɑːɾ fryː poːliːtɪʃ aŋɡaʒiːɾt ʊnt fɛɾtɾɑːt liːbeːrɑːlə poːziːtsjoːnən,Gustav Fuchs war früh politisch engagiert und vertrat liberale Positionen.,Gustav Fischer war früh politisch engagiert und vertraut liberale Positionen.
vas ɪn diːzəm tsuːzamənhaŋ bɪsvaɪlən yːbɜ diː tyɾkaɪ ɡəzɑːkt vɪɾt yːbɜraʃt mɪç aɪn veːnɪç,"Was in diesem Zusammenhang bisweilen über die Türkei gesagt wird, überrascht mich ein wenig.","Was in diesem Zusammenhang bisweilen über die Türkei gesagt wird, überrascht mich ein wenig."
ɪn jeːdɜ fɔlɡə vɪɾt aɪn zeːrɪɛnfɑːɾtsɔøk fyːɾ aɪnən ʃpeːtsjɛlən tsvɛk ʊmɡeːbaʊt,In jeder Folge wird ein Serienfahrzeug für einen speziellen Zweck umgebaut.,In jeder Folge wird ein Sicherungsvorschlag für einen späteren Zweck umgebaut.
dɛɾ saʊnt ɡəriːt nuːn meːɾ ʊntɜ zanftə eːlɛktɾoːniːkaɪnflysə,Der Sound geriet nun mehr unter sanfte Electronic-Einflüsse.,Der Saunt geriet nun mehr unter sanfte Elektrotechnikflügel.
dɔx dan zɔɾkt ɪn deːn vɪrən dɛɾ kɛmpfə aɪnə ɛntfyːrʊŋ fyːɾ ʊnruːə,Doch dann sorgt in den Wirren der Kämpfe eine Entführung für Unruhe.,Doch dann sorgt in den Winteren der Kämpfe eine Entführung für Unruhe.
plats ɪn dɛɾ ɡɛldɾaŋlɪstə ap,Platz in der Geldrangliste ab.,Platz in der Geldrangliste ab.
ɛɾ mʊs baɪʃpiːlsvaɪzə aʊx mɪt deːn aɾbaɪtsçʊts ʊnt andərən bəhœɾdən kɔmuːniːtsiːrən kœnən,Er muss beispielsweise auch mit den Arbeitsschutz- und anderen Behörden kommunizieren können.,Er muss beispielsweise auch mit den Arbeitsschutz und anderen Bedürfen koordinieren können.
diː fynf kɛlçblɛtɜ zɪnt ɡlɔkɪç fɛɾvaxzən,Die fünf Kelchblätter sind glockig verwachsen.,Die fünf Kelchblätter sind glattig verwachsen.
foːkt ʃtuːdiːɾtə an dɛɾ hoːxʃuːlə fyːɾ muːziːk ʊnt teːɑːtɜ hanoːfɜ baɪ kaɾlhaɪnts kɛmɜlɪŋ,Vogt studierte an der Hochschule für Musik und Theater Hannover bei Karl-Heinz Kämmerling.,Vomt studierte an der Hochschule für Musik und Theater Hannover bei Carlhenstein Kemerling.
aʊsɜdeːm vantə ziː zɪç tsuːneːmənt deːm bəraɪç dɛɾ viːdeːoːkʊnst tsuː,Außerdem wandte sie sich zunehmend dem Bereich der Videokunst zu.,Außerdem wandte sie sich zunächst dem Bereich der Videokunst zu.
dɑːbaɪ fɛlt kɑliːʊmçloːriːt aʊs,Dabei fällt Kaliumchlorid aus.,Dabei fällt Kaliumchroniz aus.
vas dɔɾt ɡəʃeːən ɪst yːbɜtɾɪft jeːklɪçə foːɾʃtɛlʊŋ,"Was dort geschehen ist, übertrifft jegliche Vorstellung.","Was dort geschehen ist, übertritt jeliche Vereinbarung."
zoː v??də aʊs deːm bətsɪɾkzamt dɛɾ lantkɾaɪs eːbɜn,So wurde aus dem Bezirksamt der Landkreis Ebern.,So wurde aus dem Bezirksamt der Landkreis Ebern.
ɑːmɑːt kasraviː fɛɾœfəntlɪçtə yːbɜ ziːptsɪç byːçɜ,Ahmad Kasravi veröffentlichte über siebzig Bücher.,Ahmad Kasby veröffentlichte über siebzig Bücher.
ɛs fɔlktən diː vɪrən dɛs eːɾstən balkɑːn ʊnt dɛs eːɾstən vɛltkɾiːɡəs,Es folgten die Wirren des Ersten Balkan- und des Ersten Weltkrieges.,Es folgten die Werken des Ersten Balkan und des Ersten Weltkrieges.
aɪnə d??ç bəfeːl tsuːɡəlasənə tsuːkfɑːɾt ɪst aɪnə tsuːkfɑːɾt mɪt bəzɔndərəm aʊftɾɑːk,Eine durch Befehl zugelassene Zugfahrt ist eine Zugfahrt mit besonderem Auftrag.,Eine durch Befehl zugelassene Zufahrt ist eine Zufahrt mit besonderem Auftrag.
jɑːɾtaʊzənt naxvaɪzən,Jahrtausend nachweisen.,Jahrzehnt nachweisen.
kɪŋstɔvn ɪst diː haʊptstat fɔn ɛsteː vɪnkɛnt ʊnt diː ɡɾeːnadiːnən,Kingstown ist die Hauptstadt von St. Vincent und die Grenadinen.,Kinski ist die Hauptstadt von Este Wildnet und die Granaden.
diː muːziːkɜ ʊntɜnɑːmən aɪnə tuːɾneː d??ç iːtɑːlɪən,Die Musiker unternahmen eine Tournee durch Italien.,Die Musiker unternahmen eine Tourne durch Italien.
aɪnɪɡə vɪsənʃaftlɜ hɑːbən zoːɡɑːɾ tsɑːlraɪçə aspɛktə zaɪnəs tiːfɡɾaɪfəndən kʊltuːrɛlən aɪnflʊsəs ʊntɜzuːxt,Einige Wissenschaftler haben sogar zahlreiche Aspekte seines tiefgreifenden kulturellen Einflusses untersucht.,Einige Wissenschaftler haben sogar zahlreiche Aspekte seines tiefgreifenden Kulturellen Einflusses untersucht.
diːs bərɛçtɪçtə ɑːbɜ nɑːx apʃlʊs dɛs ʃtuːdiːʊms nɪçt tsʊm fyːrən dɛɾ bərʊfsbeːtsaɪçnʊŋ psyːçoːloːɡə,Dies berechtigte aber nach Abschluss des Studiums nicht zum Führen der Berufsbezeichnung „Psychologe“.,Dies bestätigte aber nach Abschluss des Studiums nicht zum Führen der Berufsbezeichnung Psychologe.
diːzɜ ɛmɑː aɾtiːkəl laɪteːtə diː œfəntlɪçə deːbatə yːbɜ pɔɾnɔɡɾafiː ɪm ɪntɜnɛt aɪn,"Dieser ""Emma""-Artikel leitete die öffentliche Debatte über Pornografie im Internet ein.",Dieser Thema Artikel leitete die öffentliche Debatte über Parodie im Internet ein.
maɪnə ziːms hɑːbən ɪmɜ haɾndɾaŋ,Meine Sims haben immer Harndrang.,Meine Siems haben immer Harndrang.
dɛɾ foːɾʃlɑːk ɪst dɛmnax nɪçt meːɾ ɛɾɡeːbnɪs dɛs iːniːtiːatɪvrɛçts das dɛɾ kɔmɪsjoːn foːɾbəhaltən ɪst,"Der Vorschlag ist demnach nicht mehr Ergebnis des Initiativrechts, das der Kommission vorbehalten ist.","Der Vorschlag ist demnach nicht mehr Ergebnis des Initiativerechts, das der Kommission vorhalten ist."
dɛɾ aɪntsɪɡə ɛɾfɔlk vɑːɾ aʊf dɛɾ peːloːpɔnəs tsuː fɛɾtsaɪçnən,Der einzige Erfolg war auf der Peloponnes zu verzeichnen.,Der einzige Erfolg war auf der Peugeot zu verzeichnen.
ziː hat ʃoːn laŋə iːɾ ɪntərɛsə bəkʊndət,Sie hat schon lange ihr Interesse bekundet.,Sie hat schon lange ihr Interesse bekundet.
ɪmaɡɪnəs tɾeːtən dɛmnax ap juːniː aʊf ʊnt zɪnt bɪs ɔktoːbɜ tsuː bəoːbaxtən,Imagines treten demnach ab Juni auf und sind bis Oktober zu beobachten.,Immagines treten demnach ab Juni auf und sind bis Oktober zu beobachten.
nɑːx nuːɾ aɪnəm jɑːɾ mʊstə dɛɾ fɛɾaɪn dan viːdɜ ɪn diː tsvaɪtə liːɡɑː tsuːryk,Nach nur einem Jahr musste der Verein dann wieder in die Zweite Liga zurück.,Nach nur einem Jahr musste der Verein dann wieder in die zweite Liga zurück.
iːm v??də diː tiːtəlkɪɾçə zan loːrɛntsoː ɪn damɑːzoː tsuːɡeːviːzən,Ihm wurde die Titelkirche San Lorenzo in Damaso zugewiesen.,Ihm wurde die Titelkirche San Lorenzo in Dambazo zugegeben.
ɛs handəlt zɪç ʊm aɪnən fiːrɛkɪɡən ɡəmaʊɜtən ʊnt reːlatiːf ɡuːt ɛɾhaltənən tsvɛkbaʊ,Es handelt sich um einen viereckigen gemauerten und relativ gut erhaltenen Zweckbau.,Es handelt sich um einen verschiedenen Gemeinden und relativ gut erhaltenen Zweckbau.
nɑːx ɛndə dɛs tsvaɪtən vɛltkɾiːks ɛɾhiːlt poːlən diː ʃtat tsuːryk,Nach Ende des Zweiten Weltkriegs erhielt Polen die Stadt zurück.,Nach Ende des Zweiten Weltkriegs erhielt Pollen die Stadt zurück.
nɔøɜ çɛfkoːax v??də duːk mɑzoːn,Neuer Chefcoach wurde Doug Mason.,Neuer Chefkoach wurde Dug Manson.
ziː fɛɾbɪndət ʊntɜ andərəm diː ɛɾɡeːbnɪsə fɔn moːleːkuːlaɾdyːnamɪkziːmuːlatsjoːnən ʊnt mɔntəkaɾloːziːmuːlatsjoːnən,Sie verbindet unter anderem die Ergebnisse von Molekulardynamik-Simulationen und Monte-Carlo-Simulationen.,Sie verbindet unter anderem die Ereignisse von Molekular-Denkmalinstitutionen und Mont-Keramik-Mechanismen.
diː rɛçtsɡarantiːən hɑːbən maɪnɜ anzɪçt nɑːx ɡəhɔlfən,Die Rechtsgarantien haben meiner Ansicht nach geholfen.,Die Rechtsgrundlagen haben meiner Ansicht nach gehören.
ɪm ɔøroːpapaɾlamɛnt ɡəhœɾtə ɛɾ dɛɾ fraktsjoːn uːnjoːn fyːɾ aɪn ɔøroːpɑː dɛɾ natsjoːnən an,Im Europaparlament gehörte er der Fraktion Union für ein Europa der Nationen an.,Im Europäische Parlament gehörte er der Fraktion Union für ein Europa der Nationen an.
diːzə ɑːɾtən vaɪzən aɪn laŋzɑːməs vakstuːm aʊf ʊnt reːaɡiːrən aʊf aɪnə yːbɜfɪʃʊŋ bəzɔndɜs ɛmpfɪntlɪç,Diese Arten weisen ein langsames Wachstum auf und reagieren auf eine Überfischung besonders empfindlich.,Diese Arten weisen ein langsames Wachstum auf und reagieren auf eine Überfischung besonders empfindlich.
nɑːx k??tsɜ tsaɪt vɛksəltə ɛɾ tsuːɾ klɑriːnɛtə ʊnt ʃliːslɪç tsuːɾ ɡiːtarə,Nach kurzer Zeit wechselte er zur Klarinette und schließlich zur Gitarre.,Nach kurzer Zeit wechselte er zur Fakultät und schließlich zur Gatte.
neːbən ʃtɪleːbən vantə zɪç aneːmariː haɪnrɪç foːɾviːɡənt dɛɾ lantʃaftsmaleːraɪ tsuː,Neben Stillleben wandte sich Annemarie Heinrich vorwiegend der Landschaftsmalerei zu.,Neben Stilleben wandte sich Annemari Heinrich vorwiegend der Landschaftsmalerei zu.
dɑː zɪç diː maʊltiːrə ɑːbɜ ʃnɛl als ʊnrɛntɑːbəl hɛraʊsʃtɛltən zɛtstə man aɪnə dampfloːk aɪn,"Da sich die Maultiere aber schnell als unrentabel herausstellten, setzte man eine Dampflok ein.","Da sich die Mauttiere aber schnell als unrentabel herausstellen, setzte man eine Dampfflohk ein."
dɑː vɑːɾ dɔx nɔx ɛtvɑːs,Da war doch noch etwas?,Da war doch noch etwas.
neːbən dɛɾ pfaɾkɪɾçə ʃteːt aɪnə vɛkkapɛlə hɑːɛl,Neben der Pfarrkirche steht eine Wegkapelle „Hl.,Neben der Pfarrkirche steht eine Weckkapelle hell.
tsuːnɛçst daŋkə ɪç iːnən das ziː miːɾ das vɔɾt jɛtst ɛɾtaɪlt hɑːbən,"Zunächst danke ich Ihnen, dass Sie mir das Wort jetzt erteilt haben.","Zunächst danke ich Ihnen, dass sie mir das Wort jetzt erteilt haben."
diː ɡəmaɪndə vɪntsənhaɪm liːkt fynf kiːloːmeːtɜ vɛstlɪç fɔn kɔlmɑːɾ,Die Gemeinde Wintzenheim liegt fünf Kilometer westlich von Colmar.,Die Gemeinde Winterheim liegt fünf Kilometer westlich von Kolmar.
diː ɪnərə zysteːmɑtiːk dɛɾ ɡatʊŋ hɪnɡeːɡən ɪst ʊntsuːraɪçənt ɛɾfɔɾʃt ʊnt ɡɪlt als ɔfən,Die innere Systematik der Gattung hingegen ist unzureichend erforscht und gilt als offen.,Die innere Systematik der Gattung hingegen ist unzureichend erfolgt und gilt als offen.
ɡiːpt ɛs nɪçt aɪnən fluːɡziːmuːlɑtoːɾ,Gibt es nicht einen Flugsimulator?,Gibt es nicht einen Flughafen?
ʊnbəaʊfzɪçtɪçtə kɪndɜ bəkɔmən aɪnən ɛʃpɾɛsoː ʊnt aɪnən hʊndeːvɛlpən ɡəʃɛŋkt,Unbeaufsichtigte Kinder bekommen einen Espresso und einen Hundewelpen geschenkt.,Unbeaufsichtigte Kinder bekommen einen Essay und einen Hundewölpen geschenkt.
ziː zɪnt ɪn oːbɜbaɪɜn niːdɜbaɪɜn oːbɜpfalts ʊnt fraŋkən zoːviː ɪn øːstɜraɪç antsuːtɾɛfən,"Sie sind in Oberbayern, Niederbayern, Oberpfalz und Franken sowie in Österreich anzutreffen.","Sie sind in Oberbauern, Niederbayern, Oberpfalz und Franken sowie in Österreich anzutreffen."
rɑːzənt ʃnɛl tsoːk diː fɔøɜvaltsə yːbɜ das klaɪnə dɔɾf,Rasend schnell zog die Feuerwalze über das kleine Dorf.,Raysen schnell zog die Feuerwehr über das kleine Dorf.
dɛɾ ʃaxt røːdɜ vɑːɾ aɪn ʃaxt dɛɾ fɔm hɑzənvɪnkəlhɪməlskɾoːnɜ ɛɾpstɔln nɪçt meːɾ bənʊtst v??də,"Der Schacht Roeder war ein Schacht, der vom Hasenwinkel-Himmelscroner Erbstolln nicht mehr benutzt wurde.",Der Schacht Röder war ein Schacht der vom Hansen-Wilhelm-Krohner Prospekt nicht mehr benötigt wurde.
fɔn ʊntən ɪst diː kɑrɔseːriː kɔmplɛt fɛɾrɔstət,Von unten ist die Karosserie komplett verrostet.,Von Unten ist die Kassandra komplett verrottet.
am fɑːɾtsɔøkhɛk tsaɪktə zɪç aɪn ɛːnlɪçəs dɪzaɪn,Am Fahrzeugheck zeigte sich ein ähnliches Design.,Am Fahrzeugheck zeigte sich ein ähnliches Denksein.
ɪç ɛɾkɛnə voːl an das ziː fraʊ ʃraɪɜ aɪnən aktsjoːnsplɑːn foːɾɡəleːkt hɑːbən,"Ich erkenne wohl an, dass Sie, Frau Schreyer, einen Aktionsplan vorgelegt haben.","Ich erkläre wohl an, dass sie Frau Schreyer einen Aktionsplan vorgelegt haben."
ɪn dɛɾ fɔlɡeːtsaɪt ʊntɜbliːp alɜdɪŋs dɛɾ rɛpɾɛːzɛntatiːvə aʊsbaʊ das ɡəbɔødə v??də als kantslaɪɡeːbɔødə fɛɾvɛndət,"In der Folgezeit unterblieb allerdings der repräsentative Ausbau, das Gebäude wurde als Kanzleigebäude verwendet.","In der Folgezeit unterblieb allerdings der repräsentative Ausbau, das Gebäude wurde als Kanzleigebäude verwendet."
diː ziːbən ʃtɛɾnə zɪnt das zymboːl dɛs kaɾtɔøzərɔɾdəns,Die sieben Sterne sind das Symbol des Kartäuser-Ordens.,Die sieben Städte sind das Symbol des Kartäuserordens.
vas vɪɾt dɛɾ pɾɪnts balt zaɪn,Was wird der Prinz bald sein?,Was wird der Prinz bald sein?
diː plastiːkən dɛs bɾyːlʃən pɑlaɪs v??dən ɪm ʃtɛndeːaʊs aʊfɡəʃtɛlt,Die Plastiken des Brühlschen Palais wurden im Ständehaus aufgestellt.,Die Plastiken des brühlschen Palais wurden im Stendeaus aufgestellt.
aʊx ɪn deːn rɛnən tsaɪktə zɪç das reːt bʊl kɔnkʊrɛntsfɛːɪç vɑːɾ,"Auch in den Rennen zeigte sich, dass Red Bull konkurrenzfähig war.",Auch in den Rennen zeigte sich das Red Bull Konkurensfähig war.
aʊsɜdeːm fɛɾkeːɾt aɪnə reːɡɪoːnɑːlbɑːn yːbɜ çɛmnɪts nɑːx tsvɪkaʊ,Außerdem verkehrt eine Regionalbahn über Chemnitz nach Zwickau.,Außerdem verkehrt eine Regionalbahn über Chemnitz nach Zwickau.
das pɾoːfiːl dɛɾ kœɾpeːroːbɜzaɪtə tsaɪkt aɪnə aʊsɡəpɾɛːktə vœlbʊŋ dɛs nakəns,Das Profil der Körperoberseite zeigt eine ausgeprägte Wölbung des Nackens.,Das Programm der Körperoberfläche zeigt eine ausgeprägte Wölbung des Nackens.
fyːɾ diː ɔøroːpɛːɪʃən ɛkspɔɾtøːrə bəʃteːən aʊf andərən mɛɾktən ɪmɜ nɔx ɛɾheːplɪçə tsɔlʃraŋkən,Für die europäischen Exporteure bestehen auf anderen Märkten immer noch erhebliche Zollschranken.,Für die Europäischen Exporteure bestehen auf anderen Märkten immer noch erhebliche Zollranken.
ɛɾ fɛɾliːpt zɪç ʃliːslɪç ɪn ɪlzɑː,Er verliebt sich schließlich in Ilsa.,Er verliebt sich schließlich in Israel.
ɛɾ aɾbaɪtətə aʊsɜdeːm als reːdaktøːɾ baɪm ʃtatantsaɪɡɜ dʊdvaɪlɜ ɪm ʃpiːɡəl,"Er arbeitete außerdem als Redakteur beim Stadtanzeiger ""Dudweiler im Spiegel"".",Er arbeitete außerdem als Redakteur beim stastationierter Dudweiler im Spiel.
diː vɪɾtʃaft baziːɾt aʊf lantvɪɾtʃaft ʊnt fiːhtsʊxt,Die Wirtschaft basiert auf Landwirtschaft und Viehzucht.,Die Wirtschaft basiert auf Landwirtschaft und Viehzucht.
vɪɾd ɪn ɔørɜ klasə aʊx jeːmant ɡəmɔppt,Wird in eurer Klasse auch jemand gemobbt?,Wird in einer Klasse auch jemand gemerkt?
mɛɾkɜ bəʃɛftɪçtə zɪç mɪt deːm fɛɾbən fɔn tɛkstiːlɪən,Mercer beschäftigte sich mit dem Färben von Textilien.,Müller beschäftigte sich mit dem Verben von Techniken.
das ɡəbɔødə vaɪst aɪnə vɛksəlfɔlə ɡəʃɪçtə aʊf,Das Gebäude weist eine wechselvolle Geschichte auf.,Das Gebäude weist eine wechselvolle Geschichte auf.
ziː kœntən nɑːx deːn bəzɪtsfɜhɛltnɪsən dɛɾ ɡɾɑːfən fɔn ɔldənb??k aʊs deːm ɔsnabɾykɜ nɔɾdlant ʃtamən,Sie könnten nach den Besitzverhältnissen der Grafen von Oldenburg aus dem Osnabrücker Nordland stammen.,Sie könnten nach den Besitzverhältnissen der Grafen von Oldenburg aus dem Osnabrücker Nordland stammen.
vɛːrənt dɛs tsvaɪtən vɛltkɾiːɡəs v??də ɛɾ als møːklɪçɜ antɾiːp fyːɾ das bɔmbɜ beː pɾoːjɛkt ɛntvɪkəlt,"Während des Zweiten Weltkrieges wurde er als möglicher Antrieb für das """"Bomber B""-Projekt"" entwickelt.",Während des Zweiten Weltkrieges wurde er als möglicher Antrieb für das Bomber be Projekt entwickelt.
lɪstə dɛɾ dɔøtʃən altkatoːlɪʃən bɪʃøːfə,Liste der deutschen altkatholischen Bischöfe,Liste der deutschen altkatholischen Bischöfe.
tsuː diːzən pɾoːbleːmən kɑːm ɛɾʃveːrənt das mɪndɜvɛɾtɪɡə mɑteːriːɑːl hɪntsuː,Zu diesen Problemen kam erschwerend das minderwertige Material hinzu.,"Zu diesen Problemen kam erschwert, das mindestens materiell hinzu."
daviːt vɑːɾ dɛɾ zoːn dɛs ɡɔltʃmiːts friːdɾɪç rɪçtɜ,David war der Sohn des Goldschmieds Friedrich Richter.,David war der Sohn des Goldschmieds Friedrich Richter.
ɡlaɪçtsaɪtɪç zɛtstə ɛɾ zaɪnə kynstlərɪʃə tɛːtɪçkaɪt als mɑːlɜ fɔɾt,Gleichzeitig setzte er seine künstlerische Tätigkeit als Maler fort.,Gleichzeitig setzte er seine künstlerische Tätigkeit als Maler Fort.
diːzə ɡəmaɪnʃaftən zɪnt maɪst rɛçt fɛɾʃlɔsən,Diese Gemeinschaften sind meist recht verschlossen.,Diese Gemeinschaften sind meist recht verschlossen.
viː das bɪlt tsaɪkt nɪmt ɛɾ mɪt ʃtaɪɡəndɜ kɛɾnladʊŋstsɑːl tsɛt ʊnt apneːməndɜ eːnɛɾɡiː tsuː,"Wie das Bild zeigt, nimmt er mit steigender Kernladungszahl ""Z"" und abnehmender Energie zu.","Wie das Bild zeigt, nimmt er mit steigender Kernladungszahl zesd und abnehmender Energie zu."
diː kɔmuːnɑːlən ʃpɪtsənfɜbɛndə zɪnt neːbən dɛɾ bʊndəs aʊx aʊf landəseːbənə ɔɾɡaniːziːɾt,Die kommunalen Spitzenverbände sind neben der Bundes- auch auf Landesebene organisiert.,Die kommunalen Spitzenverbende sind neben der Bundes auch auf Landesebene organisiert.
das ɪst aɪn ɡəzɛts ɡɔtəs aɪn nɑːtuːɾɡəzɛts,"Das ist ein Gesetz Gottes, ein Naturgesetz.",Das ist ein Gesetz gestotes ein Naturgesetz.
das ɡəhœɾt ap jɛtst tsuː maɪnən fɑvoːriːtən,Das gehört ab jetzt zu meinen Favoriten.,Das gehört ab jetzt zu meinen Fans.
ɛs fɔlktə aɪn laŋɜ kampf dɛɾ liːnɪən dɛɾ ɡɾɑːfən fɔn zɔlms,Es folgte ein langer Kampf der Linien der Grafen von Solms.,Es folgte ein langer Kampf der Linien der Grafen von Solms.
ɪç kans kaʊm ɛɾvaɾtən,Ich kann’s kaum erwarten!,Ich kann kaum erwarten.
ɪm anʃlʊs an diːzə kɔnzoːliːdiːrʊŋsfɑːzə bəɡɑːp zɪç maɾkvaɾt meːdiːɑː ɛɾnɔøt aʊf ɛkspanzɪoːnskuːɾs,Im Anschluss an diese Konsolidierungsphase begab sich Marquard Media erneut auf Expansionskurs.,Im Anschluss an diese Konsonantisierungsphase be gab sich Markwart Melissa erneut auf Expansionskurs.
dɛɾ flʊx bətaɪlɪçtə zɪç aʊx an deːm eːɾstən rɔkoːrɑmɑːzamplɜ diː dɔøtʃən kɔmən,"Der Fluch beteiligte sich auch an dem ersten Rock-O-Rama-Sampler ""Die Deutschen kommen"".",Der Fluch behielte sich auch an dem ersten Radioalbum die deutschen kommen.
tɛroːrɪsmʊs ɪst diː meːtastɑːzə dɛɾ moːdɛɾnən ɡəzɛlʃaft,Terrorismus ist die Metastase der modernen Gesellschaft.,Terrorismus ist die Methode der modernen Gesellschaft.
dɑːtsuː zɪnt fyːɾ jeːdə poːziːtsjoːn diː tsuːɡmœklɪçkaɪtən dɛɾ baɪdən ʃpiːlɜ mateːmɑːtɪʃ fɔɾmɑːl tsuː karakteːriːziːrən,Dazu sind für jede Position die Zugmöglichkeiten der beiden Spieler mathematisch formal zu charakterisieren.,Dazu sind für jede Position die Zugehörigkeiten der beiden Spieler mathematisch Form zu charakterisieren.
aʊs deːm fɛɾhɛltnɪs ɡeːt aɪn vaɪtərɜ ʊneːəlɪçɜ zoːn hɛɾfoːɾ,Aus dem Verhältnis geht ein weiterer unehelicher Sohn hervor.,Aus dem Verhältnis geht ein weiterer unwesentlicher Sohn hervor.
zuːboːtiːkɑː ɪst aɪnə mʊltiːtnɪʃə ɡəmaɪndə,Subotica ist eine multiethnische Gemeinde.,Sorotikata ist eine mutttliche Gemeinde.
diː vɪɾtʃaft fɔn myɾtssteːk bəʃteːt yːbɜviːɡənt aʊs tuːrɪsmʊs,Die Wirtschaft von Mürzsteg besteht überwiegend aus Tourismus.,Die Wirtschaft von Münzstek besteht überwiegend aus Tourismus.
nɑːx deːm ɛndə zaɪnɜ amtstsaɪt v??də ɔlzoːn viːdɜ als rɛçtzanvalt tɛːtɪç,Nach dem Ende seiner Amtszeit wurde Olson wieder als Rechtsanwalt tätig.,Nach dem Ende seiner Amtszeit wurde Oliver wieder als Rechtsanwalt tätig.
aɪn haʊsbaʊ zɔl ɪmɜ fyːɾ alə bətaɪlɪçtən ɡlyk bɾɪŋən,Ein Hausbau soll immer für alle Beteiligten Glück bringen.,Ein Hausbau soll immer für alle beteiligten Glück bringen.
ziː hɑːbən zɛlpst ɡəzɑːkt das aɪnə zɔlçə ziːtuːatsjoːn meːdiːtsɪntuːrɪsmʊs hɛɾfoːɾbɾɪŋt,"Sie haben selbst gesagt, dass eine solche Situation Medizintourismus hervorbringt.","Sie haben selbst gesagt, dass eine solche Situation Medizinismus hervorbringt."
diːzəs pɾoːbleːm zaɪ d??ç ɡəmaɪnʃaftlɪçə ɡeːɡənmasnɑːmən tsuː bəheːbən,Dieses Problem sei durch gemeinschaftliche Gegenmaßnahmen zu beheben.,Dieses Problem sei durch gemeinsame Gegenmaßnahmen zu beheben.
diː zɛks bəʃaftən loːkoːmoːtiːvən kɑːmən bəfoːɾtsuːkt aʊf dɛɾ myɡlɪtstalbɑːn tsʊm aɪnzats,Die sechs beschafften Lokomotiven kamen bevorzugt auf der Müglitztalbahn zum Einsatz.,Die sechs beschafften lokalen Kappen bevorzugt auf der Mühltstadtbahn zum Einsatz.
vɛntsəl ʃtuːdiːɾtə slavɪstiːk ʊnt aŋɡliːstiːk ʊnt aɾbaɪtətə als lɛktoːɾ fyːɾ rʊsɪʃ,Wenzel studierte Slawistik und Anglistik und arbeitete als Lektor für Russisch.,Wenzel studierte Slavik und Angglistik und arbeitete als Lehrer für russisch.
ɛɾbaʊt v??də diː bɑːn fɔm zytiːroːlɜ ʊntɜneːmən hœltsl zaɪlbɑːnbaʊ,Erbaut wurde die Bahn vom Südtiroler Unternehmen Hölzl Seilbahnbau.,Erbaut wurde die Bahn vom Syprioler Unternehmen Höhlzl Saarbrücken.
hoːə bʊsɡɛldɜ zɪnt aɪn vɪɾkzɑːməs mɪtəl ɑːbɜ als aɪntsɪɡəs ɪnstɾuːmɛnt zɪnt ziː tsuː ʃvax,"Hohe Bußgelder sind ein wirksames Mittel, aber als einziges Instrument sind sie zu schwach.","Hehe Busgelder sind ein wirkliches Mittel, aber als einziges Instrument sind sie zu schwach."
das vɪɾt zɪç laɪdɜ nɪçt fɛɾmaɪdən lasən,Das wird sich leider nicht vermeiden lassen.,Das wird sich leider nicht vermeiden lassen.
dan hɑːbən ziː diːs deːn ɡəbɾyːdɜn ɡɾɪm tsuː fɛɾdaŋkən,Dann haben Sie dies den Gebrüdern Grimm zu verdanken.,Dann haben Sie dies den Gebrüdern Grimm zu verdanken.
roːp roːnɑːldoː ʊnt bɪl karɪnkiː vɑːrən anveːzənt,Rob Ronaldo und Bill Carinci waren anwesend.,Robert Romando und Bill Karincy waren anwesend.
an dɛɾ aʊsənvant bəfɪndət zɪç aɪn bɑrɔkəs eːpiːtɑːf,An der Außenwand befindet sich ein barockes Epitaph.,An der Außenwand befindet sich ein barockes Epit.
mɑːə vɪɾt ɡɛntslɪç fɔn deːm tsuː keːralɑː ɡəhøːrɪɡən dɪstɾɪkt kanuːɾ ʊmʃlɔsən,Mahe wird gänzlich von dem zu Kerala gehörigen Distrikt Kannur umschlossen.,Mage wird gerichtlich von dem zu Kella gehörigen Distrikt Kanur umschlossen.
duːkə (en)ɒv(de) vɛstmiːnstɜ,Duke of Westminster.,Duce of Westminister.
diːs v??də ɪm tsuːzamənhaŋ mɪt atyːpɪʃən fɛɾtɾɛːɡən ɛɾœɾtɜt,Dies wurde im Zusammenhang mit atypischen Verträgen erörtert.,Dies wurde im Zusammenhang mit agyptischen Verträgen erörtert.
baɪ aɪnɪɡən ɑːɾtən ɪst diː ʊntɜlɪpə fɛɾbɾaɪtɜt ʊnt eːbənfals fɔlʃtɛndɪç pɑpɪløːs,Bei einigen Arten ist die Unterlippe verbreitert und ebenfalls vollständig papillös.,Bei einigen Arten ist die Unterlinie verbreitet und ebenfalls vollständig passives.
diː fɔn iːm hɪntɜlasənən fɛɾzuːxə aɪnɜ zɛlpstɾɛflɛksjoːn bəɪnhaltən fast nuːɾ ɑpoːloːɡeːtiːk,Die von ihm hinterlassenen Versuche einer Selbstreflexion beinhalten fast nur Apologetik.,Die von ihm hinterlassenen Versuche einer Selbstkontrollion beinhalten fast nur Apologetik.
ɛntʃpɾɛçəndə antɾɛːɡə d??ftən nɪçt meːɾ aɪnɡəraɪçt vɛɾdən,Entsprechende Anträge durften nicht mehr eingereicht werden.,Entsprechende Anträge durften nicht mehr eingerichtet werden.
