phonemes,ground_truth,prediction
zrɔzumjawa i ɔna ʒɛ ɲʲɛstɛtɨ ix sɨtuatsja znatʃɲʲɛ ɕɛ pɔɡɔrʃɨwa,"Zrozumiała i ona, że niestety ich sytuacja znacznie się pogorszyła.","Zrozumiała i ona, że niestety ich sytuacja znacznie się pogorszyła"
lɛʒaw na taptʃaɲʲɛ,Leżał na tapczanie.,Leżał na tapczanie.
tu pɔtʃɛbna ɡʲimnastɨka muʃtra ɔnɛ mɔɡɔ̃ bɨdʑ dɔbrɛ albɔ zwɛ,"Tu potrzebna gimnastyka, musztra, one mogą być dobre albo złe.",Tu potrzebna gimnastyka musitra one mogą być dobre albo złe
tɔ jɛst pʃɛɕfʲɛtna sprava,To jest prześwietna sprawa.,To jest przejścia sprawa
frɨzjɛr jɛst tʃɨnnɨ ɔt pɔɲʲɛdʑawku dɔ pʲɔntku w ɡɔdʑinax ɔt usmɛj dɔː ɔɕɛmnastɛj,Fryzjer jest czynny od poniedziałku do piątku w godzinach od ósmej do osiemnastej.,Wryzer jest czynny od poczynku do pięciu w godzinach od usmej do osiemnastej.
pannɔ zɔfjɔ dʑiɕaj mɲʲɛ znɔvu vɛzmɔ̃,"Panno Zofio, dzisiaj mnie znowu wezmą!",Panno Zobo dzisiaj mnie znowu wezmą.
ftɛm pɔswɨʃawɛm za sɔbɔ̃ ʃmɛr,Wtem posłyszałem za sobą szmer.,Wtem posłyszałem za sobą szmer.
tʃɛɡɔ pan jɛʃtʃɛ xtsɛ ɔdɛ mɲʲɛ zaɡadnɔw znuf ɲʲɛxɛntɲʲɛ,Czego pan jeszcze chce ode mnie? — zagadnął znów niechętnie.,"Czego pan jeszcze chce, ode mnie zagadnął znów niechętnie?"
zasadɛ tɛ stɔsujɛ ɕɛ zaruvnɔ f stɔsuŋku dɔ dʑɛtska jak i dɔ jɛɡɔ rɔdʑinɨ,"Zasadę tę stosuje się zarówno w stosunku do dziecka, jak i do jego rodziny.","Zasada te stosuje się zarówno w stosunku do dziecka, jak i do jego rodziny"
zatʃɛwa ɕɛ bardʑɔ dɔbʒɛ utʃɨtɕ i tɔː utʃɨtɕ tsawɨmi vʲɛ tʃɔrami,"Zaczęła się bardzo dobrze uczyć, i to uczyć całymi wie czorami.",Zaczęła się bardzo dobrze uczyć i to uczyć całymi wie corazami.
vɨdajɛ ɕɛ ʒɛ dʑɛjɛ lutskɔɕtɕi tsɔras tɔ bardʑɛj pʃɨpɔminajɔ̃ çistɔrjɛ utʃɲʲa tʃarnɔkɕɛ̃skʲɛɡɔ,"Wydaje się, że dzieje ludzkości coraz to bardziej przypominają historię ucznia czarnoksięskiego.","Wydaje się, że dzieje ludności coraz to bardziej przypominają historię ucznia czarnokościeskiego"
ɔɔɔ zapwakaw xur mruvɛk,Ooo! — zapłakał chór mrówek.,Oo! — zapukał chuł mruwek.
bɔ ɡɔdʑina tfɔja juʃ ɕɛ zbliʒa ɕɔstrɔ,"Bo godzina twoja już się zbliża, siostro.",Bo godzina twoja już się zbliża siostro.
jɛdnɔrɛŋki z bwɨskavitʃnɔ̃ ʃɨpkɔɕtɕɔ̃ pɔpraviw tɔrbɛ spɔsɔbjɔnts jɔ̃ dɔ zamjɛʒɔnɛɡɔ tsɛlu,"Jednoręki z błyskawiczną szybkością poprawił torbę, sposobiąc ją do zamierzonego celu.","Jednoręki z błyskawyczną szybkością poprawił rolbę, sposobiąc ją do zamierzonego celu."
kwadɛ ɕɛ znɔvu,Kładę się znowu.,Kładę się znowu.
ɲʲɛtsɔ xɔrɔblivʲɛ dɔkwadnɛ mɨtɕɛ ɡɛɲitaljuf,Nieco chorobliwie dokładne mycie genitaliów.,Nieco chorobliwe dokładne myśle generacji?
lɛtʃ tsuʃ mɲʲɛ ɔnɛ ɔpxɔdʑitɕ mɔɡɔ̃,Lecz cóż mnie one obchodzić mogą?,Lecz cóż mnie one obchodzić mogą?
znam mɛxaɲizm tɛn dɔkwadɲʲɛ na sɔbjɛ samɨm ɔtʃɨviɕtɕɛ w miɲʲatuʒɛ,Znam mechanizm ten dokładnie na sobie samym — oczywiście w miniaturze.,Znam mechanizm ten dokładnie na sobie samym oczywiście w miniaucie.
mʲawa ranɛ f sɛrtsu,Miała ranę w sercu.,Miała rane w sercu.
na pɛvnɔ vidʑɔ̃ jak ja pɔla vʲɛtʃnɛɡɔ lɔdu,Na pewno widzą jak ja — pola wiecznego lodu.,"Na pewno widzą, jak ja pola wieczornego lodu."
zupɛwɲʲɛ jaɡ ɡdɨbɨ jakiɕ tʃarɔdʑɛj vdavaw ɕɛ f tɛ spravɛ,"Zupełnie, jak gdyby jakiś czarodziej wdawał się w tę sprawę.",Zupełnie jak gdyby jakiś czarnej wydawał się w tę sprawę.
zdajɛ ɕɛ ʒɛ umjɛm ɲʲɛkturɛ ʒɛtʃɨ,"Zdaje się, że umiem niektóre rzeczy.","Zdaje się, że umiem niektóre rzeczy."
dɔ dɔmu bɨwɔ jɛʃtʃɛ dalɛkɔ,Do domu było jeszcze daleko.,Do domu było jeszcze daleko.
tsɔ za ɔbras,Co za obraz!,Co za obraz?
pɔtʃɛkaj aʃ ɔn vrutɕi na spɔtʃɨnɛk a pɔtɛm jɛdɛn tsɛlnɨ stʃaw,"Poczekaj, aż on wróci na spoczynek… a potem: jeden celny strzał!","Potrzeba, aż on wróci na spokynek, a potem jeden celny stwierdził."
xɔdʑiwɔ tɨlkɔː ɔ zɔbatʃɛɲʲɛ tɛɡɔ tsɔ jɛst na dɲʲɛ,"Chodziło tylko o zobaczenie tego, co jest na dnie.","Chodziło tylko o zobaczenie tego, co jest na mnie."
jɛst tɔ vʲɛlkɔ̃ zalɛtɔ̃ ɔnɛɡɔ prava,Jest to wielką zaletą onego prawa.,Jest to wielką zaletą onego prawa
fstaw pɔtʃɛd dɔː ɔkna i zɔbatʃɨw ɲʲɛbjɛskɔ̃ mɡwɛ,"Wstał, podszedł do okna i zobaczył niebieską mgłę.",Wstał podszedł do okna i zobaczył niebieską mgłę.
za dʒvʲami matka kʃɨtʃaja,Za drzwiami matka krzyczaia.,Za drzwiami matka krzyczya.
lubʲiʃ kɔɡɔɕ alɛ skɔnt,Lubisz kogoś? — Ale skąd.,"Lubisz kogoś, ale skąd?"
ɔtʃɛdwɛm z utʃutɕɛm ulɡʲi i fkruttsɛ zasnɔwɛm ɡwɛmbɔkɔ,Odszedłem z uczuciem ulgi i wkrótce zasnąłem głęboko.,Oczekłem z uczuciem ulgi i wkrótce zasnąłem głęboko.
tɔ jɛst mɔjɛ pʃɛznatʃɛɲʲɛ,To jest moje przeznaczenie.,To jest moje przeznaczenie
tɛras pʃɛjdʑɛmɨ dɔː ustalɛɲ,Teraz przejdziemy do ustaleń.,Teraz przejdziemy do ustaleń
tak i ɲʲɛ,Tak i nie.,Tak i nie.
narɛʃtɕɛ fstaw i ɲʲɛ spɔjʒafʃɨ namɲʲɛ vʲɛntsɛj vɨʃɛd,"Nareszcie wstał i nie spojrzawszy na mnie więcej, wyszedł.",Nareszcie wstał i nie spojrzały na mnie więcej wyszedł.
bɛs kartki mɛlduŋkɔvɛj,Bez kartki meldunkowej?,Bez kartki młodzieńskiej
z vʲɛlɔma upravʲawɛm sɛks,Z wieloma uprawiałem seks,Z wieloma uprawiałem tekst.
krul uɕiwɔvaw znatʃɔntsɨmi spɔjʒɛɲʲami zaxɛɲtɕitɕ sfɛɡɔ pɔɛtɛ dɔː ɔstatɲʲɛɡɔ vɨɕiwku,Król usiłował znaczącymi spojrzeniami zachęcić swego poetę do ostatniego wysiłku.,Król usiłował znaczącymi spojrzeniemi zachęcać swego potę do ostatniego wysiłku.
bɔʒɛ drɔɡʲi jak tɔ tʃas pwɨɲʲɛ,"Boże drogi, jak to czas płynie…","Boże drogi, jak to czas płynie."
vʲɛnts pɔʃɛdwɛm na ɡurɛ,Więc poszedłem na górę.,Więc poszedłem na górę.
alɛ ɔn ftsalɛ inatʃɛj ɲʲɛ mɨɕlaw,Ale on wcale inaczej nie myślał.,Ale on wcale inaczej nie myślał.
bɨwbɨm vdʑɛntʃnɨ za infɔrmatsjɛ w jakiɣ ɡɔdʑinax planɔvanɨ jɛst lɔt f tamtɔ̃ strɔnɛ,"Byłbym wdzięczny za informację, w jakich godzinach planowany jest lot w tamtą stronę.","Byłbym wdzięczny za informację, w jakich godzinach planowany jest lot w tamtą stronę"
tɕi majɔ̃ sfɔjɛ trɔski i smutki tɕi sfɔjɛ,"Ci mają swoje troski i smutki, ci swoje.",Ci mają swoje troski i smutki ci swoje.
vɨdaw tɕixɨ sɨk ujɔw jɛj dwɔɲ pɔtɕɔŋɡnɔw jɔ̃ w duw i upadwa na ɲʲɛɡɔ,"Wydał cichy syk, ujął jej dłoń, pociągnął ją w dół i upadła na niego.","Wydał cichy sygk, ujął jej dłoń, pociągnął ją w duł i upadła na niego."
bɛs pratsɨ ɲʲɛma kɔwatʃɨ,Bez pracy nie ma kołaczy.,Bez pracy nie ma kołaczy.
ɔtpɔvʲɛdʑaw krutki urvanɨ ɕmʲɛx kɔbjɛtɨ,"Odpowiedział krótki, urwany śmiech kobiety.",Opowiedział kroki urwany śmiech kobiety.
i tɛɡɔ ɕɲʲɛɡu,I tego śniegu.,I tego śniegu.
ɲʲɛnavidʑɛ tɛɡɔː ɔbwudnɛɡɔ frazɛsu tɛɡɔ ʒarɡɔnu impɔtɛntsji,"Nienawidzę tego obłudnego frazesu, tego żargonu impotencji…",Nienawidzi tego obłędnego frazetu tego żargonu imperii
ktɔ mi zabrɔɲi vɛjɕtɕ ɔtpar xwɔpak stanɔftʃɨm ɡwɔsɛm,Kto mi zabroni wejść? — odparł chłopak stanowczym głosem.,"Kto mi zabroni wejść odparł chłopak, stanowczom głosem?"
prɔʃɛ tɕɛ dɔdawɛm waɡɔdɲʲɛj ɲʲɛ muvmɨ tɛras ɔtɨm,Proszę cię — dodałem łagodniej — nie mówmy teraz o tym.,"Proszę cię dodałem łagodniej, nie mówimy teraz o tym"
ilɛ lat kɔɲtʃɨʃ,Ile lat kończysz?,Ile lat kończysz?
na mɔʒu zaskɔtʃɨwa ix taka sɔbjɛ buʒa,Na morzu zaskoczyła ich taka sobie burza.,Na morzu zaskoczyła ich taka sobie burza.
mɔʒɛ bɨdʑ vɔda s kranu,Może być woda z kranu?,Może być woda z kranu?
ɲikt ɲʲɛma dɔɕtɕ rɔzumu natɔ bɨ ʒɛdʒ vwaɕtɕivɔ̃ zrɔbʲitɕ w ɔtpɔvʲɛdɲim tʃaɕɛ,"Nikt nie ma dość rozumu na to, by rzecz właściwą zrobić w odpowiednim czasie.","Nikt nie ma dość rozumu na to, by rzecz właściwą zrobić w odpowiednim czasie"
ɔɲʲɛ ʒɛkw,O nie! — rzekł.,O nie rzekł.
ɲʲɛma ɲits fspulnɛɡɔ pɔmjɛndʑɨ vɔlnɨmi ludami puʃtʃɨ a tɔ̃ bandɔ̃,"Nie ma nic wspólnego pomiędzy wolnymi ludami puszczy, a tą bandą.","Nie ma nic wspólnego pomiędzy wolnymi ludami półczy, a tą bandą."
pɔkazɨvaw mɔts ɲʲɛzlitʃɔnɔ̃ nɔvɨx kʲɛwkuv vɨxɨlajɔntsɨx ɕɛ pʃɛs tʃarnɔ̃ ɡlɛbɛ,"Pokazywał moc niezliczoną nowych kiełków, wychylających się przez czarną glebę.",Pokazywał moc niezliczną nowych kierunków wychylających się przez czarną glebę.
pɔza tɨm fstɔmpiwɛm dɔ ruʒnɨx pɔlitɨtʃnɨx i spɔwɛtʃnɨɣ zʒɛʃɛɲ,Poza tym wstąpiłem do różnych politycznych i społecznych zrzeszeń.,Poza tym wstąpiłem do różnych politycznych i społecznych zrzezeń
dʑiɕ pɔvinnam mʲɛtɕ mʲɛɕɔntʃkɛ i ɲits,Dziś powinnam mieć miesiączkę i nic.,Dziś powinnam mieć mięsieńczkę i nic.
xɔrɨzɔnt miwɔɕtɕi vɨpɔɡɔdʑiw ɕɛ i nastawɔ zwɔtɛ naɡʒanɛ swɔɲtsɛm pɔwudɲʲɛ,"Horyzont miłości wypogodził się i nastało złote, nagrzane słońcem południe.",Choryząd miłości wypogodził się i nastało złote nagrzałe słońcem popołudnie.
tsɔ ma pʲɛrɲiɡ dɔ vʲatraka,Co ma piernik do wiatraka?,Co ma pierwszak do wiatrak?
ɔɕfʲattʃam ja ɕɛ natɨm ɲʲɛznam,Oświadczam: Ja — się — na tym — nie — znam.,Oświadcam ja się na tym nie znam.
ftʃɛsnɨ jɛɕɛnnɨ zmrɔɡ zalɛɡaw ulitsɛ,"Wczesny, jesienny zmrok zalegał ulice.",Wszechny jęsny zmrok zalegał ulicę.
vidʑɛ sarɔ ʒɛ vɔdʑiʃ ɔtʃɨma pɔ klaɕɛ zamjast patʃɛtɕ f kɕɔ̃ʃkɛ,"Widzę, Saro, że wodzisz oczyma po klasie, zamiast patrzeć w książkę.","Widzę Saro, że wodzisz otrzyma po klasku, zamiast patrzeć w książkę."
vɨtʃɨmadʑ ɡɔdʑinɛ dvʲɛ xɔdʑbɨ tʃɨ,"Wytrzymać: godzinę, dwie, choćby trzy.",Wytrzymać godzinę dwie godziny czy?
a ɡdɨbɨ xwɔpʲɛdʑ bɨwɔbɨ ɕmʲɛʃɲʲɛ,A gdyby chłopiec — byłoby śmiesznie.,A gdyby chłopiec byłoby śmieszne.
tɕiʃa zaviswa mʲɛndʑɨ vɔdɔ̃ a ɲʲɛbɛm,Cisza zawisła między wodą a niebem.,"Cisza zawoła między wodą, a niebawem."
tɨlkɔ vam mɔɡɔ̃ vɛjʑdʑ w drɔɡɛ inɕi,Tylko wam mogą wejść w drogę insi.,Tylko wam mogą wiedzieć w drogę insi.
mɔʒɛ dʑiɕaj zjɛmɨ pitsɛ,Może dzisiaj zjemy pizzę?,Może dzisiaj zjemy pitce.
tɔ bɨw paɲi ɔɡrut,To był pani ogród.,To był pani ogród.
xɛ xɛ xɛ bɛtʃaw rɔzbavʲɔnɨ natʃɛlɲik,"He, he, he! — beczał rozbawiony naczelnik.","Hej, te, he, będzie był rozbawiony nacisk."
sɔ̃ sɨtuatsjɛ w ʒɨtɕu f kturɨx tɛ tɔvaʒɨskʲɛ dɔdatki vinnɨ ɔtpaɕtɕ,"Są sytuacje w życiu, w których te towarzyskie dodatki winny odpaść.","Są sytuacje w życiu, w których te towarzysze dostawki winny odpaść"
jɛdnɛ duʒɛ ʒɛ dvux mɔʒɛ ɕɛ vɔzitɕ,"Jedne duże, że dwóch może się wozić.","Jedno duże, że dwóch może się wziąć."
swuxaʃ mɲʲɛ w ɔɡulɛ,Słuchasz mnie w ogóle?,Słuchasz mnie w ogóle.
apsɔlutɲʲɛ ɲʲɛ xtɕawa abɨ ɔn sɔbjɛ tsɔɕ mɨɕlaw,"Absolutnie nie chciała, aby „on sobie coś myślał”.","Absolutnie nie chciała, aby on sobie coś myślał."
tɛrɛsa transpɔrtɔvawa tʲirɛm dɔ tartaku,Teresa transportowała tirem do tartaku,Teraz transportowała trombem do teatru.
tsɔ rɔku tu jɛstɛm i zafʃɛ mi mawɔ,Co roku tu jestem i zawsze mi mało!,Co roku tu jestem i zawsze mi mało?
pɔtɛm pʃɛstaw,Potem przestał.,Potem przestał.
tʃɛkawam tɨlkɔ na rɔskaz bɨm mɔɡwa zabratɕ tatsɛ,"Czekałam tylko na rozkaz, bym mogła zabrać tacę.","Czekałam tylko na rozkaz, bym mogła zabrać tacy."
u jɛdnɛɡɔ zɔbatʃɨwa ɛrɛktsjɛ,U jednego zobaczyła erekcję.,U jednego zobaczyła reakcję.
ɲʲɛznajɔmɨ uɕmʲɛxnɔw ɕɛ dʑivɲʲɛ,Nieznajomy uśmiechnął się dziwnie.,Nieznajomy uśmiechnął się dziwnie.
matka tɕɔŋɡwɛ jadwa tɨwɛk,Matka ciągłe jadła tyłek.,Matka ciągłe jadła tyłek.
a ja bɔjɛ navɛt ruʃɨtɕ,A ja boję nawet ruszyć.,A ja boję nawet ruszyć.
ɔɲi uʒɨvajɔ̃ rɛdaktsɨjnɛɡɔ mɨ zaznatʃɨw naras nɔvak,Oni używają redakcyjnego „my” — zaznaczył naraz Nowak.,Oni używają konstrukcyjnego my zaznaczył naraz nowy.
tɔ jɛʃtʃɛ ɲʲɛ dɔvut,To jeszcze nie dowód!,To jeszcze nie dowód.
xaɛm taɡ bɨ vɨɡlɔndawɔ,Hm… tak by wyglądało.,"Hamam tak, by wyglądało."
ilɛɕ pisaw xanɲibalu,"Ileś pisał, Hannibalu?",Ileś pisał handlu?
mʲawa ɔtfɔrɨ f tɛj valistsɛ ʒɛbɨ ɕɛ ɲʲɛ uduɕiwa,"Miała otwory w tej walizce, żeby się nie udusiła.","Miała otwory w tej waliste, żeby się nie udusiła."
jak pɔd dɔtkɲʲɛɲtɕɛm ruʃtʃki tʃarɔdʑɛjskʲɛj pʃɛistɔtʃɨwa ɕɛ jɛj pɔstatɕ,Jak pod dotknięciem różdżki czarodziejskiej przeistoczyła się jej postać.,Jak pod dociągnięciem różczki czarnodzkiej przeistoczyła się jej postać.
jɛʒɨ pʃɨtʃɨmaj xfilɛ pravɛ ramjɛ,"Jerzy, przytrzymaj chwilę prawe ramię!",Jerzy przytrzymaj chwilę prawie ramię.
i dɔtʃɨmam jɛj vʲɛrɲʲɛ,I dotrzymam jej wiernie.,I dotrzymam jej wielkie.
kʲɛdɨɕ ɔprutʃ pɔtstavufki i litsɛum bɨwɔ jɛʃtʃɛ ɡʲimnazjum,Kiedyś oprócz podstawówki i liceum było jeszcze gimnazjum.,Kiedyś oprócz podstawówki i liceum było jeszcze gimnasm
vʲɛʒa bɨwa s kamjɛɲi u dɔwu ʃɛrɔka vɨʒɛj tsɔraz vɛ̃ʃʃa,"Wieża była z kamieni, u dołu szeroka, wyżej coraz węższa.","Wieża była z kamieni u dołu szeroka, wyżej coraz węższa."
xtsɛ vɨjɕtɕ kʃɨtʃɛ,Chcę wyjść! — krzyczę.,Chcę wyjść krzywdę.
fʃɨstkɔ tʃɛba pɔ kɔlɛi pɔvʲɛdʑɛtɕ,Wszystko trzeba po kolei powiedzieć…,Wszystko trzeba po kolei powiedzieć.
pɔjɛdʑɛmɨ dalɛj ɡɔndɔlɔ̃,Pojedziemy dalej gondolą.,Pojedziemy dalej godziną.
tsɔfnɛwa rɛŋkɛ,Cofnęła rękę.,Cofnęła rękę.
tɔ jɛst xɨba jakiʑ ɡʒɨp,To jest chyba jakiś grzyb.,To jest chyba jakiś grzyb.
xtsɛ tɕi pɔza tɨm dɔɲʲɛʑdʑ ʒɛ za mʲɛɕɔndʑ vɨxɔdʑi mɔja ɛpidɛmjɔlɔɡja,"Chcę ci poza tym donieść, że za miesiąc wychodzi moja epidemiologia.","Chcę ci poza tym donieść, że za miesiąc wychodzi moja epidemia"
tɔ jɛst intɛrɛs pɛvnɨ tɨlkɔ tʃɨ vartɔ,"To jest interes pewny, tylko czy warto?",To jest interes pewny tylko czy warto
ʒɛɡnajta ɔtpɔvʲɛdʑaw kulavʲɛts,Żegnajta — odpowiedział kulawiec.,Żegnata odpowiedział kulawiec.
mɨ mwɔdʑi vʲɛɕɲʲatsɨ ɲʲɛ umjɛliɕmɨ jɛʃtʃɛ drvitɕ sɔbjɛ s fʃɨstkʲɛɡɔ,"My, młodzi wieśniacy, nie umieliśmy jeszcze drwić sobie z wszystkiego.",My młodzi wieśniacy nie umieliśmy jeszcze drwić sobie z wszystkiego
jɛdnɔ druɡʲɛmu pɔmaɡa znakɔmitɕɛ,Jedno drugiemu pomaga znakomicie.,Jedno drugiemu pomaga znakiądze
ja tfɔjɛɡɔ starɛɡɔ bardʑɔ lubjɛ i tɔ jɛst f sfɔim rɔdʑaju mɔrɔvɨ tɨp,"Ja twojego starego bardzo lubię, i to jest w swoim rodzaju morowy typ.",Ja twojego starego bardzo lubię i to jest w swoim rodzaju morowy tyt.
sɔ̃ tu tsɨtatɨ z zɛznaɲ ɕfʲatkuf,Są tu cytaty z zeznań świadków.,Są tu cytaty z zeznani świątków
ilɛ razɨ pʃɨxɔdʑiwɛm dɔ ɲʲɛj matka jɛj ɡwaskawa mɲʲɛ pɔ ɡwɔvʲɛ,"Ile razy przychodziłem do niej, matka jej głaskała mnie po głowie.",Ile razy przychodziłem do niej matka jej głaskała mnie po głowie.
ɡalɛrja ɔrɡaɲizujɛ vɨstavɨ indɨvidualnɛ i zbjɔrɔvɛ artɨstuf pɔlskix i zaɡraɲitʃnɨx ɔraz vɨstavɨ prɔblɛmɔvɛ,Galeria organizuje wystawy indywidualne i zbiorowe artystów polskich i zagranicznych oraz wystawy problemowe.,Generala organizuje wystawy indywidualne i zbiorowe arystoków polskich i zagranicznych oraz wystawia problemowe
ɲʲɛ nalɛʒɨ,Nie należy.,Nie należy.
tɨ ɲʲɛ maʃ tak prava muvitɕ,Ty nie masz tak prawa mówić.,Ty nie masz tak prawa mówić.
muj xwɔptʃɛ mama ɔbjɛtsawa mi dʑiɕaj ʒɛ pɔjadɛ sama na vakatsjɛ,"Mój chłopcze, mama obiecała mi dzisiaj, że pojadę sama na wakacje.","Mój chłopcze mama obiecała mi dzisiaj, że podatki sama na wakacje."
tɔ jɛst ɲʲɛ dɔ zɲʲɛɕɛɲʲa,To jest nie do zniesienia.,To jest nie do zniesienia
f kaʒdɨm raʑɛ dɔbʒɛ bɛɲdʑɛ vɨpuɕtɕidʑ ɡɔ zɛ ʃkɔwɨ,W każdym razie dobrze będzie wypuścić go ze szkoły.,W każdym razie dobrze będzie wypłacić go ze szkoły.
a jɛst tam tsɔ kupitɕ,A jest tam co kupić!,A jest tam co kupić?
dʑivɲʲɛ rux ɕɛ vzmaɡa na namatsalɲʲɛ tɕɛmnɨm pɔdvuʒu,Dziwnie ruch się wzmaga na namacalnie ciemnym podwórzu.,Dziwnie ruch się wzmaga na namacalnym podwórzu.
ɲʲɛmuɡw,Nie mógł.,Nie mógł.
sɛn pɛwɛn majakuv zmaɡaɲ i vidm,"Sen pełen majaków, zmagań i widm.","Sen pełen majaków, zmagach i widm."
kama lɛʒawa na wuʃku i ɲʲɛ ɔdrɨvawa ɔtʃu ɔd zakratɔvanɛɡɔː ɔkna,Kama leżała na łóżku i nie odrywała oczu od zakratowanego okna.,kama leżała na łóżku i nie odrywała oczu od zakratowanego okna.
jɛdɨɲʲɛ watfɔɕtɕ kɔmbʲinatsji znanɨx ɛlɛmɛntuv dajɛ ɲʲɛdɔɕfʲattʃɔnɛmu pijakɔvi tɔ zwudʑɛɲʲɛ,Jedynie łatwość kombinacji znanych elementów daje niedoświadczonemu pijakowi to złudzenie.,Jedynie łatwość komunikacji znanych elementów daje niedoświadczonemu pijakowi to złudzenie
vidʑaw jɛj tfaʃ,Widział jej twarz.,Widział jej twarz.
i pɔfstawɛm z wafki,I powstałem z ławki.,I powstałem z ławki.
ɲʲɛ ɲʲɛ tʃujɛ ɕɛ dɔbʒɛ,"Nie, nie czuję się dobrze",Nie nie czuję się dobrze.
dʑɛtskɔ ma pravɔ dɔ nauki,Dziecko ma prawo do nauki.,Dziękuję ma prawo do nauki
pʃɛtɕɛʃ mi ɕɛ varɡʲi pɔkurtʃɔ̃ ɔt ɲʲɛxɛɲtɕi twumatʃɨwa ɕɛ ʒawɔɕɲʲɛ,Przecież mi się wargi pokurczą od niechęci! — tłumaczyła się żałośnie.,"Przecież mi się wargi podróżczą od niechęci, tłumaczyła się żałosnie."
zbɨd draʒɲʲɔntsɛ zbɨt mɔtsnɛ bɨwɔ jɛɡɔ spɔɡlɔndaɲʲɛ prɔstɔ w ɔtʃɨ,"Zbyt drażniące, zbyt mocne było jego spoglądanie prosto w oczy.",Zbyt drażliwe zbyt mocne było jego spoglądanie prosto w oczy.
vʲɛnts pʃɨznajɛ pan ʒɛ f praktɨtsɛ muɕi ɕɛ utʃɨɲidʑ vɨbur jɛst ɕɛ zmuʃɔnɨm,"Więc przyznaje pan, że w praktyce musi się uczynić wybór? — Jest się zmuszonym.","Więc przyznaję pan, że w praktyce musi się uczynić wybór jest się zmuszonym."
jaɡbɨ dʑɛtskɔ mɲʲɛj tʃuwɔ mʲawɔː innɔ̃ skurɛ ɲiʃ ɔɲi,"Jakby dziecko mniej czuło, miało inną skórę niż oni.","Jakby dziecko mniej czuło miało inną skórę, niż oni?"
ʃtʃɔtka jɛst na dɔlɛ w izbjɛ,Szczotka jest na dole w izbie.,Szczotka jest na dole w Izbie.
ɔbavɨ jɛj zatʃɨnajɔ̃ pʃɨbjɛratɕ fɔrmɨ bardʑɛj ɔkrɛɕlɔnɛ,Obawy jej zaczynają przybierać formy bardziej określone.,Obawi jej zaczynają przybierać formy bardziej określone
tʃɨ f ʃkɔlɛ jɛst tɕi pʃɨjɛmɲʲɛ ɲʲɛ,Czy w szkole jest ci przyjemnie? — Nie.,Czy w szkole jest ci przyjęcie nie?
filib bɨw duʒɨm xwɔptsɛm alɛ ɲʲɛpʃɨjɛmnɨm,"Filip był dużym chłopcem, ale nieprzyjemnym.","filib był dużym chłopcem, ale nieprzyjemnym."
xtɕɛliɕmɨ ɡɔ najpʲɛrf ɔbudʑidʑ ʒɛbɨɕmɨ mɔɡli pɔrɔzmavʲatɕ,"Chcieliśmy go najpierw obudzić, żebyśmy mogli porozmawiać","Chcieliśmy go najpierw obudzić, żebyśmy mogli porozmawiać"
patʃɛ ktɔ vɛsɛlʃɨ,"Patrzę, kto weselszy.","Patrzę, kto weselszy."
juʃ paɲi ɡɔtɔva,Już pani gotowa?,Już pani gotowa.
ɔn tsɔ ɲiɡdɨ vʲɛntsɛj tɛɡɔ ɲʲɛ zɔbatʃɨʃ,On: — Co „nigdy więcej”? Tego nie zobaczysz.,On co nigdy więcej tego nie zobaczysz.
a tɛras muvjɔ̃ ɔ skʃɨdwaɣ dla lutskɔɕtɕi,A teraz mówią o skrzydłach dla ludzkości.,A teraz mówią o skrzydłach dla ludności
ɲʲɛma pɔvɔdu dɔː ɔbaf,Nie ma powodu do obaw.,Nie ma powodu do obaw
pɔra vratsadʑ dɔ dɔmu,Pora wracać do domu.,Pora wracać do domu.
pʲɛtʃɛɲʲɛ ɡɔrɔntsɛj ɔlivɨ alɛ ɲʲɛ bardʑɔ,"Pieczenie gorącej oliwy, ale nie bardzo.","Przenie gorącej Oliwy, ale nie bardzo."
takʲɛ bɨvajɔ̃ naʃɛ nɔtsɛ,Takie bywają nasze noce.,Takie bywają nasze noce.
fʃɨstkɔ tɔ sɔ̃ skutki alkɔxɔlu ʒɛdʑ bɨ mɔʒna dɔdatɲʲɛ alɛ xfilɔvɛ,"Wszystko to są skutki alkoholu, rzec by można, dodatnie, ale chwilowe.","Wszystko to są skutki alkoholu, żeć, by można dodatnie, ale chwilowe"
pʃɛpraʃam jɛɕli pʃɛʃkadʑam,"Przepraszam, jeśli przeszkadzam.",Przepraszam jeśli przeszkadzam.
ɔj kɔbjɛtɨ jakʲɛ vɨ ɡwupʲɛ,"Oj, kobiety, jakie wy głupie.","Oj kobiety, jakie wy głupie."
prɔblɛm z zapalɲitʃkɔ̃,Problem z zapalniczką?,Problem z zapalniczką
pʃɨnajmɲʲɛj tɛras ɲʲɛ,Przynajmniej teraz nie.,Przynajmniej teraz nie
utʃuwɛm dɔjmujɔntsɨ xwud vilɡɔtɕi,Uczułem dojmujący chłód wilgoci.,Uczułem domujący chłop wilgości.
ɕmʲɛx i kaʃɛl sɔ̃ f pʲɛrʃɨɣ dɲʲaɣ vɨklutʃɔnɛ,Śmiech i kaszel są w pierwszych dniach wykluczone.,Śmiech i kaszel są w pierwszych dniach wykluczone.
pravɔ vɨraʑɲʲɛ zɛzvala natɔ,Prawo wyraźnie zezwala na to!,Prawo wyraźnie zezła na to.
